lonCoord,latCoord,City,Country
30.5241037,50.4500644,Kiev,Ukraine
19.9970637622827,50.04691015,Krakow,Poland
20.4568974,44.8178131,Belgrade,Serbia
26.1027202,44.4361414,Bucharest,Romania
23.3221789,42.6978634,Sofia,Bulgaria
19.0404707,47.4983815,Budapest,Hungary
18.3866868,43.8519774,Sarajevo,Bosnia and Herzegovina
15.977048,45.813177,Zagreb,Croatia
24.1051846,56.9493977,Riga,Latvia
28.9651646,41.0096334,Istanbul,Turkey
21.0067265,52.2319237,Warsaw,Poland
14.3161977911064,48.80511495,?esk? Krumlov,Czech Republic
25.2829111,54.6870458,Vilnius,Lithuania
17.1597440625,48.1359085,Bratislava,Slovakia
16.4396801,43.5115555,Split,Croatia
25.3958561,36.4044251,Santorini,Greece
30.316229,59.938732,Saint Petersburg,Russia
14.5067824,46.0498146,Ljubljana,Slovenia
14.4212535,50.0874654,Prague,Czech Republic
24.7453688,59.4372155,Tallinn,Estonia
-16.6214471211441,28.2935785,Tenerife,Spain
14.5136759,35.8989818,Valletta,Malta
23.7279843,37.9841493,Athens,Greece
14.2487826,40.8359336,Naples,Italy
-9.1365919,38.7077507,Lisbon,Portugal
37.6174943,55.7504461,Moscow,Russia
-3.7035825,40.4167047,Madrid,Spain
10.000654,53.550341,Hamburg,Germany
1.41974631785153,38.9743901,Ibiza,Spain
7.2683912,43.7009358,Nice,France
13.3888599,52.5170365,Berlin,Germany
13.0464806,47.7981346,Salzburg,Austria
11.2555757,43.7698712,Florence,Italy
-3.1883739,55.953346,Edinburgh,Scotland
18.0936953,42.6499638,Dubrovnik,Croatia
-6.2602732,53.3497645,Dublin,Ireland
3.226772,51.2085526,Bruges,Belgium
2.1774322,41.3828939,Barcelona,Spain
11.5753822,48.1371079,Munich,Germany
6.129799,49.6112768,Luxembourg City,Luxembourg
12.4853384,41.894802,Rome,Italy
16.3725042,48.2083537,Vienna,Austria
4.351697,50.8465573,Brussels,Belgium
9.1904984,45.4667971,Milan,Italy
2.3514992,48.8566101,Paris,France
5.3258117,60.3943034,Bergen,Norway
7.8585139,46.6855231,Interlaken,Switzerland
24.9414566,60.1713198,Helsinki,Finland
12.5700724,55.6867243,Copenhagen,Denmark
18.0710935,59.3251172,Stockholm,Sweden
-0.1276474,51.5073219,London,England
4.89797550561798,52.3745403,Amsterdam,Netherlands
10.7389701,59.9133301,Oslo,Norway
-21.7681063037804,64.2444268,Reykjavik,Iceland
12.3345898,45.4371908,Venice,Italy
8.5414061,47.3769434,Zurich,Switzerland
